City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,kashgar,39.4547,75.9797,-0.44,69,100,2.0,CN,1706698012
154,al matlin,37.2452,10.05,13.77,58,9,2.61,TN,1706698013
155,sterling,39.0062,-77.4286,3.49,80,100,0.0,US,1706697921
156,san patricio,28.017,-97.5169,12.92,77,100,0.93,US,1706698013
157,owen sound,44.5672,-80.9435,0.74,97,87,2.68,CA,1706697945
158,mar del plata,-38.0023,-57.5575,22.75,87,76,0.89,AR,1706697845
159,queenstown,-31.8976,26.8753,32.9,29,76,0.85,ZA,1706698014
160,danville,36.586,-79.395,4.36,90,100,2.57,US,1706697800
161,sorong,-0.8833,131.25,27.49,81,100,1.52,ID,1706698014
162,invercargill,-46.4,168.35,12.23,96,100,1.23,NZ,1706697766
163,avarua,-21.2078,-159.775,24.03,94,40,1.03,CK,1706697757
164,mumbwa,-14.9783,27.0619,25.9,62,15,2.15,ZM,1706698015
165,jayapura,-2.5333,140.7,26.66,90,100,2.42,ID,1706698015
166,talnakh,69.4865,88.3972,-18.22,74,95,3.93,RU,1706697752
167,katsuren-haebaru,26.3369,127.8719,23.43,80,0,3.6,JP,1706698015
168,inarajan village,13.2736,144.7484,26.54,82,33,10.31,GU,1706698016
169,vernon,50.2581,-119.2691,6.27,96,100,0.51,CA,1706698016
170,flying fish cove,-10.4217,105.6791,28.82,78,99,1.54,CX,1706698016
171,limbe,4.0242,9.2149,30.29,67,49,2.88,CM,1706698016
172,fada,9.5667,8.3,34.25,14,59,0.4,NG,1706697772
173,kone,-21.0595,164.8658,25.12,90,91,0.92,NC,1706698017
174,st. john's,47.5649,-52.7093,-4.01,86,100,8.94,CA,1706697763
175,cabo san lucas,22.8909,-109.9124,23.75,83,73,1.79,MX,1706697484
176,chalons-en-champagne,48.9539,4.3672,8.57,73,31,1.76,FR,1706698017
177,kodiak,57.79,-152.4072,-16.27,78,0,3.09,US,1706697481
178,hobyo,5.3505,48.5268,29.04,56,82,7.51,SO,1706698018
179,utrik,11.2278,169.8474,26.33,83,100,9.73,MH,1706697785
180,college,64.8569,-147.8028,-30.82,70,75,0.0,US,1706697590
181,la gi,10.6667,107.7833,24.69,86,80,6.15,VN,1706698018
182,scarborough,54.2797,-0.4044,4.25,83,95,5.81,GB,1706698019
183,souillac,-20.5167,57.5167,30.21,74,40,5.14,MU,1706698019
184,hauterive,46.0901,3.4459,11.66,73,97,0.62,FR,1706698019
185,touros,-5.1989,-35.4608,29.23,61,6,5.77,BR,1706698019
186,raja,8.4596,25.678,31.91,10,67,3.97,SS,1706698019
187,porbandar,21.6422,69.6093,27.99,61,20,5.14,IN,1706698020
188,qaqortoq,60.7167,-46.0333,-2.76,97,100,3.17,GL,1706697764
189,ribeira grande,38.5167,-28.7,15.99,82,40,1.03,PT,1706697762
190,morondava,-20.2833,44.2833,29.64,66,13,4.81,MG,1706698020
191,mangai,-4.05,19.5333,24.9,80,100,1.9,CD,1706698020
192,kill devil hills,36.0307,-75.676,8.32,91,75,3.6,US,1706697522
193,aasiaat,68.7098,-52.8699,-26.78,90,32,4.25,GL,1706698021
194,doaba,33.4244,70.7364,12.39,55,87,1.83,PK,1706698021
195,rongelap,11.1635,166.8941,26.47,74,100,10.06,MH,1706698021
196,kisangani,0.5167,25.2,36.16,33,94,1.07,CD,1706698022
197,salmon arm,50.6998,-119.3024,4.13,93,100,0.51,CA,1706698022
198,nizwa,22.9333,57.5333,29.53,28,83,5.19,OM,1706698022
199,kaifeng,34.7911,114.3483,4.67,70,100,7.46,CN,1706698022
200,mitsamiouli,-11.3847,43.2844,29.22,71,98,2.92,KM,1706698023
201,road town,18.4167,-64.6167,25.05,77,1,3.47,VG,1706698023
202,tawau,4.2498,117.8871,29.07,79,43,3.13,MY,1706698023
203,bredasdorp,-34.5322,20.0403,32.89,31,99,6.2,ZA,1706697773
204,lawang,-7.8353,112.6947,23.0,95,95,0.75,ID,1706698024
205,velikiy ustyug,60.7644,46.3106,-3.67,93,83,3.58,RU,1706697758
206,kristiansund,63.1115,7.732,9.36,40,40,5.14,NO,1706698024
207,nadym,65.5333,72.5167,-23.78,96,9,5.51,RU,1706698024
208,alegrete,-29.7831,-55.7919,20.98,62,0,3.6,BR,1706698024
209,betare oya,5.6,14.0833,36.62,11,53,2.06,CM,1706698025
210,krumovgrad,41.4667,25.65,6.69,45,7,5.8,BG,1706698025
211,palikir - national government center,6.9248,158.1611,27.41,69,75,2.57,FM,1706698025
212,papatowai,-46.5619,169.4708,10.86,92,75,1.38,NZ,1706697751
213,uspenskoye,44.8311,41.3927,1.87,67,93,1.18,RU,1706698026
214,olinda,-8.0089,-34.8553,25.85,89,40,1.03,BR,1706697938
215,breckenridge,32.7557,-98.9023,11.59,81,0,2.96,US,1706698026
216,bata,1.8639,9.7658,29.51,70,80,3.09,GQ,1706698026
217,nova sintra,14.8667,-24.7167,20.97,61,0,4.26,CV,1706698026
218,nakatunguru,-2.1167,33.0667,23.69,69,95,3.81,TZ,1706698027
219,pasuquin,18.3328,120.6177,26.97,69,75,1.03,PH,1706698027
220,douglas,41.3,-96.167,-0.01,93,0,2.57,US,1706698027
221,boende,-0.2167,20.8667,36.99,29,87,1.33,CD,1706698027
222,camana,-16.6228,-72.7111,22.57,86,100,2.31,PE,1706698028
223,melito di porto salvo,37.9222,15.7714,15.3,58,1,5.14,IT,1706698028
224,armacao de buzios,-22.7469,-41.8817,26.03,89,100,1.26,BR,1706698028
225,el calafate,-50.3408,-72.2768,10.07,70,73,2.35,AR,1706698028
226,gondia,21.45,80.2,28.38,29,100,3.05,IN,1706698028
227,izhevsk,56.85,53.2333,-0.49,84,99,4.92,RU,1706697975
228,illizi,26.4833,8.4667,13.89,22,0,9.03,DZ,1706698029
229,fort bragg,35.139,-79.006,7.68,92,100,2.06,US,1706697804
230,tralee,52.2704,-9.7026,11.14,82,40,11.83,IE,1706698029
231,buritis,-15.6178,-46.4233,22.56,91,100,0.4,BR,1706698029
232,afaahiti,-17.75,-149.2833,26.82,81,54,3.05,PF,1706697758
233,longyearbyen,78.2186,15.6401,-8.09,67,75,8.23,SJ,1706698030
234,noosa heads,-26.3833,153.15,26.73,77,49,9.44,AU,1706698030
235,petrozavodsk,61.7849,34.3469,-1.3,86,40,5.0,RU,1706698030
236,ola,59.5833,151.2833,-25.47,88,56,2.86,RU,1706697759
237,alice springs,-23.7,133.8833,32.9,14,11,5.66,AU,1706698031
238,buulobarde,3.8538,45.5674,35.79,20,80,6.49,SO,1706698031
239,roslavl',53.9528,32.8639,0.23,92,100,3.65,RU,1706698031
240,thurgoona,-36.0451,146.9919,25.36,98,0,2.24,AU,1706698032
241,taoudenni,22.6783,-3.9836,24.03,17,0,5.01,ML,1706698032
242,devarkonda,16.7,78.9333,30.55,27,43,2.81,IN,1706698032
243,korla,41.7597,86.1469,-2.23,70,100,0.37,CN,1706698032
244,cill airne,52.05,-9.5167,11.03,82,40,11.83,IE,1706698033
245,kamareddi,18.3167,78.35,31.15,22,16,2.62,IN,1706698033
246,dukhan,25.4297,50.7858,21.8,58,77,2.53,QA,1706698033
247,walvis bay,-22.9575,14.5053,25.53,57,0,1.03,NA,1706698033
248,sitia,35.2,26.0986,9.99,66,89,9.1,GR,1706698034
249,tura,25.5198,90.2201,21.57,41,26,0.92,IN,1706698034
250,dartmouth,44.6713,-63.5772,-7.25,84,43,4.02,CA,1706698017
251,jalostotitlan,21.2,-102.4667,15.05,37,100,0.65,MX,1706698034
252,morehead city,34.7229,-76.726,9.43,87,0,2.68,US,1706698035
253,tutoia,-2.7619,-42.2744,27.74,82,47,4.63,BR,1706698035
254,marion,39.7684,-86.1555,3.19,95,100,4.63,US,1706698035
255,devonport,-41.1667,146.35,18.94,57,74,0.89,AU,1706698035
256,jumla,29.2747,82.1838,7.69,42,13,3.29,NP,1706698035
257,sola,-13.8833,167.55,28.47,72,62,3.3,VU,1706698036
258,kaspiyskiy,45.3929,47.3707,0.78,81,99,3.74,RU,1706698036
259,east london,-33.0153,27.9116,28.52,69,0,7.2,ZA,1706698036
260,ancud,-41.8697,-73.8203,14.0,95,53,2.3,CL,1706697763
261,serdar,38.9764,56.2757,7.3,41,11,4.81,TM,1706698037
262,kyaikto,17.3,97.0167,27.49,58,1,3.22,MM,1706698037
263,port isabel,26.0734,-97.2086,16.68,88,0,0.0,US,1706697901
264,taksimo,56.3444,114.8794,-29.68,92,29,0.87,RU,1706698037
265,san antonio de pale,-1.4014,5.6325,28.21,75,73,2.64,GQ,1706698038
266,spoleto,42.7448,12.7374,13.88,38,92,0.96,IT,1706698038
267,prince george,53.9166,-122.753,1.69,75,75,5.66,CA,1706697937
268,lower sackville,44.7733,-63.6885,-7.49,88,100,4.12,CA,1706698039
269,san luis de la loma,17.2706,-100.8939,23.64,81,100,2.19,MX,1706698039
270,leava,-14.3,-178.1667,29.05,79,100,4.85,WF,1706698039
271,zaozersk,69.4005,32.4476,-2.02,85,100,11.95,RU,1706697778
272,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1706697769
273,blida,36.47,2.8277,16.42,55,81,1.17,DZ,1706698040
274,castillos,-34.1667,-53.8333,20.9,65,6,1.91,UY,1706698040
275,maun,-19.9833,23.4167,28.98,58,0,5.66,BW,1706698040
276,kotabumi,-4.8333,104.9,25.66,91,88,2.55,ID,1706698040
277,wuchuan,21.4571,110.7659,20.24,87,46,4.48,CN,1706698040
278,cambria,35.5641,-121.0808,12.77,98,90,2.24,US,1706698041
279,nuuk,64.1835,-51.7216,-8.66,86,100,14.92,GL,1706697894
280,meadow lake,34.8014,-106.5436,9.37,42,96,1.38,US,1706698041
281,fort st. john,56.2499,-120.8529,-0.06,74,40,3.6,CA,1706698041
282,yeppoon,-23.1333,150.7333,26.88,82,99,8.05,AU,1706698041
283,kiffa,16.6166,-11.4045,27.49,9,0,6.42,MR,1706698042
284,salekhard,66.53,66.6019,-15.93,97,100,2.15,RU,1706698042
285,rocky mountain house,52.3668,-114.9188,-4.94,93,73,3.09,CA,1706698042
286,coyhaique,-45.5752,-72.0662,14.34,82,90,2.06,CL,1706697754
287,kawambwa,-9.7915,29.0791,23.46,77,23,2.02,ZM,1706698043
288,margate,51.3813,1.3862,8.83,72,22,3.58,GB,1706698043
289,kandahar,31.0,65.75,12.6,30,100,8.56,AF,1706698043
290,bandarban,22.1965,92.2262,21.84,42,98,1.75,BD,1706698043
291,floro,61.5996,5.0328,5.98,87,75,19.55,NO,1706698043
292,karaton,-6.3424,106.1045,25.54,88,100,0.34,ID,1706698044
293,masterton,-40.9597,175.6575,15.61,97,30,0.72,NZ,1706698044
294,senanga,-16.1167,23.2667,31.97,34,32,3.34,ZM,1706698044
295,talakan,50.3167,130.3667,-27.26,100,99,2.1,RU,1706698045
296,el centro,32.792,-115.563,11.99,66,0,2.06,US,1706697907
297,muravlenko,63.7898,74.523,-23.43,99,64,4.77,RU,1706698045
298,bandon,51.7469,-8.7425,9.77,89,100,9.15,IE,1706698045
299,smara,26.7384,-11.6719,22.29,20,12,8.42,EH,1706697763
300,papao,-17.75,-149.55,27.56,83,45,2.36,PF,1706698046
301,mora,11.0461,14.1401,28.31,12,37,4.31,CM,1706698046
302,pingshan,22.9938,114.7131,20.78,85,37,2.5,CN,1706698046
303,durgapur,23.4833,87.3167,25.16,44,40,1.54,IN,1706698046
304,ataq,14.5377,46.8319,28.14,29,44,7.37,YE,1706698047
305,mount pearl,47.5166,-52.7813,-4.47,87,100,5.14,CA,1706698047
306,susuman,62.7833,148.1667,-28.9,98,100,1.34,RU,1706697773
307,portarlington,53.1622,-7.1911,9.55,84,100,8.49,IE,1706698047
308,karratha,-20.7377,116.8463,29.73,58,67,6.22,AU,1706698048
309,derbent,42.0678,48.2899,3.5,63,97,1.44,RU,1706698048
310,axim,4.8699,-2.2405,30.27,62,6,2.6,GH,1706698048
311,anadyr,64.75,177.4833,-35.56,66,20,2.0,RU,1706697757
312,goundam,16.4145,-3.6708,26.97,12,100,7.26,ML,1706698048
313,fuglafjordur,62.244,-6.814,5.26,90,95,26.27,FO,1706698049
314,atafu village,-8.5421,-172.5159,29.27,68,65,2.63,TK,1706697753
315,hammerfest,70.6634,23.6821,0.25,93,40,9.26,NO,1706697779
316,turochak,52.2576,87.1224,-9.11,95,100,0.81,RU,1706698049
317,malegaon,20.55,74.5333,30.43,16,54,4.75,IN,1706698050
318,ephraim,39.3597,-111.5863,3.48,62,0,2.29,US,1706698050
319,tezu,27.9167,96.1667,17.71,48,89,0.45,IN,1706698050
320,chibougamau,49.9168,-74.3659,-5.21,93,100,5.66,CA,1706698050
